,,,given,given,given,given,given,given,given,given,given,given,given,given
date,,,1,2,3,4,5,6,7,8,9,10,11,12
street,year,def,,,,,,,,,,,,
14.0,2019,8.0,20468.1875,21230.245000000003,22439.326666666664,13291.377499999999,25125.39,4721.155,5290.59,4156.26,7734.84,4904.22,4161.3875,11714.248333333335
14.0,2020,1.0,14947.02,14127.46,13606.31,15313.4,10869.68,14978.94,18205.31,14225.57,17461.21,13697.05,12762.43,85833.47
14.0,2020,2.0,75831.24,75163.72,76157.34,43535.97,32799.73,7607.58,0.0,0.0,0.0,0.0,3826.04,197379.95
14.0,2020,3.0,24.064999999999998,0.0,48.129999999999995,24.064999999999998,0.0,0.0,48.129999999999995,48.935,97.97,0.0,48.985,317.09
14.0,2021,5.0,12600.14,10167.64,-3163.8599999999997,-2316.16,24542.855,11265.3,11331.19,22833.13,36876.7,14684.16,27236.4,31174.92
14.0,2021,9.0,67806.49,115735.31,-37384.346666666665,-29831.163333333334,34450.33,2623.12,0.0,0.0,0.0,-17225.18,2433.61,13010.44
14.0,2021,10.0,136.16,97.97,-73.47666666666667,-16.32833333333333,177.45000000000002,0.0,24.490000000000002,100.225,75.655,-17.279999999999994,50.435,277.395
15.0,2020,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.31,1065.01,1514.04
15.0,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46103.35
15.0,2021,5.0,701.24,648.28,379.06,407.77,283.97,153.9,332.6,0.0,266.09000000000003,344.06,608.36,623.51
15.0,2021,9.0,82297.14,91252.85,81396.26,54476.15,31429.76,4610.34,0.0,0.0,0.0,0.0,0.0,44350.02
16.0,2016,6.0,0.0,22308.06,21913.6,20647.76,16500.94,8644.94,6725.59,8683.25,9509.74,5789.52,8268.99,22047.36
16.0,2017,6.0,20931.79,24944.75,40059.06,10853.05,11414.97,5600.84,7854.72,6931.41,6065.26,9100.03,7582.64,20660.99
16.0,2018,8.0,0.0,27633.24,29056.05,24022.45,22999.4,9654.55,8665.88,9932.39,902.54,2709.85,7901.12,20135.76
16.0,2019,8.0,4958.35,24458.12,26428.16,20975.81,24316.91,9806.93,8265.06,10343.15,10343.15,2350.82,4113.94,21831.39
16.0,2020,2.0,0.0,28045.44,24865.53,23948.99,2184.6524999999992,5401.29,0.0,0.0,0.0,6365.64,116.53,74453.25
16.0,2021,5.0,226.79,161.12,115.67,126.38,341.56,63.29,121.25,125.06,127.08,4113.48,0.0,0.0
16.0,2021,9.0,133.53,18159.79,17589.26,11595.08,7737.34,5423.66,46.13,78.2,15.14,105.94,0.0,0.0
16.0,2021,10.0,0.0,0.0,25.415,0.0,0.0,0.0,0.0,0.0,26.605,0.0,0.0,0.0
17.0,2020,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52336.84
18.0,2016,5.0,283045.24,242994.05,258292.9,85664.0,271343.54,180449.71,120603.22,0.0,216868.29,145792.74,158766.14,328166.44
